iter	Passed	Remaining
268	4965	13493
269	4982	13471
270	4999	13449
271	5019	13435
272	5038	13416
273	5056	13396
274	5073	13376
275	5091	13355
276	5110	13339
277	5127	13318
278	5145	13296
279	5164	13279
280	5182	13261
281	5201	13243
282	5220	13227
283	5239	13209
284	5257	13190
285	5274	13167
286	5293	13149
287	5310	13127
288	5326	13103
289	5344	13084
290	5363	13066
291	5380	13046
292	5398	13026
293	5417	13010
294	5437	12994
295	5455	12975
296	5474	12957
297	5492	12937
298	5509	12917
299	5529	12901
300	5546	12880
301	5564	12860
302	5581	12840
303	5599	12820
304	5617	12799
305	5636	12782
306	5656	12768
307	5674	12748
308	5692	12730
309	5709	12709
310	5728	12691
311	5746	12670
312	5763	12650
313	5780	12628
314	5799	12610
315	5816	12590
316	5833	12569
317	5852	12550
318	5870	12532
319	5889	12515
320	5908	12498
321	5927	12481
322	5946	12462
323	5964	12444
324	5984	12428
325	6001	12408
326	6020	12391
327	6039	12374
328	6057	12354
329	6076	12336
330	6094	12317
331	6110	12295
332	6128	12275
333	6147	12258
334	6164	12236
335	6183	12220
336	6202	12202
337	6221	12185
338	6240	12167
339	6259	12149
340	6277	12131
341	6296	12113
342	6312	12092
343	6330	12072
344	6348	12052
345	6365	12032
346	6383	12013
347	6401	11992
348	6419	11975
349	6439	11958
350	6458	11941
351	6476	11922
352	6494	11903
353	6513	11886
354	6531	11867
355	6549	11848
356	6569	11833
357	6584	11808
358	6605	11793
359	6623	11774
360	6641	11756
361	6659	11736
362	6677	11717
363	6696	11700
364	6715	11683
365	6734	11664
366	6752	11647
367	6770	11627
368	6788	11608
369	6807	11591
370	6826	11574
371	6844	11555
372	6863	11537
373	6881	11518
374	6899	11499
375	6918	11482
376	6936	11463
377	6955	11444
378	6972	11425
379	6991	11407
380	7009	11388
381	7027	11369
382	7044	11348
383	7062	11328
384	7081	11311
385	7099	11293
386	7118	11276
387	7136	11257
388	7155	11239
389	7174	11221
390	7192	11202
391	7210	11182
392	7228	11164
393	7245	11143
394	7264	11126
395	7281	11106
396	7300	11088
397	7318	11069
398	7337	11052
399	7355	11032
400	7372	11012
401	7391	10995
402	7408	10975
403	7427	10956
404	7444	10937
